file,name,gender,prompt
Can1.jpg,Zoe,Female,"Photorealistic portrait, Female-presenting Black Caribbean 19-year-old young adult; hair: flat twists; grooming: manicure, clear skin; stylish, wearing denim jacket and skirt, local history archiving vibe; scene: beach walkway. Fun Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can2.jpg,Nadia,Female,"Photorealistic portrait, Female-presenting Black Caribbean 19-year-old young adult; hair: twists; grooming: subtly messy makeup, visible acne; wearing clean casual, off-duty, into posting screenshots for attention vibe; scene: park at golden hour. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can3.jpg,Chantal,Female,"Photorealistic portrait, Female-presenting Afro-Latinx 19-year-old young adult; hair: slick bun; grooming: light makeup, frizzy hair; wearing polo & jeans, off-duty, into chasing side quests in games only vibe; scene: old fort courtyard. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can4.jpg,Sade,Female,"Photorealistic portrait, Female-presenting Pacific Islander 19-year-old young adult; hair: boho braids; grooming: fresh style, manicure; wearing cardigan & tee, renewable energy tech vibe; scene: library nook. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can5.jpg,Amara,Female,"Photorealistic portrait, Female-presenting Black African 19-year-old young adult; hair: locs; grooming: clean teeth, light makeup; wearing linen overshirt, IT support specialist vibe; scene: museum hall. Fun Off Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can6.jpg,Ava,Female,"Photorealistic portrait, Female-presenting Black American 19-year-old young adult; hair: short pixie cut; grooming: slightly messy nails, visible acne; wearing simple tee & chinos, off-duty, mildly weird, into breadcrumbing for attention vibe; scene: cafe window. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, neutral, reserved expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can7.jpg,Naomi,Female,"Photorealistic portrait, Female-presenting Afro-Latinx 19-year-old young adult; hair: fulani braids; grooming: mild acne, flyaways; wearing smart joggers, off-duty, tired, into doomscrolling vibe; scene: university quad. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can8.jpg,Lena,Female,"Photorealistic portrait, Female-presenting Black American 19-year-old young adult; hair: twist-out; grooming: locs freshly retwisted, manicure; wearing clean casual, yoga vibe; scene: pan rehearsal yard. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can9.jpg,Soraya,Female,"Photorealistic phone selfie portrait, Female-presenting Mixed (Black) 19-year-old young adult; hair: long braids; grooming: mild acne, frizz; wearing smart joggers, off-duty, into doomscrolling vibe; scene: soft gradient background. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can10.jpg,Kira,Female,"Photorealistic portrait, Female-presenting Black African 19-year-old young adult; hair: curly bob; grooming: pretty jewelry, manicure; wearing clean casual, urban planner vibe; scene: art wall mural. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can11.jpg,Jonah,Male,"Photorealistic portrait, Male-presenting Mixed (Black) 19-year-old young adult; hair: 3B curls; grooming: frizz and flyaways, uneven shave; wearing linen overshirt, off-duty, into baking vibe; scene: festival crowd (blurred). Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can12.jpg,Kai,Male,"Photorealistic portrait, Male-presenting East Asian 19-year-old young adult; hair: tapered afro; grooming: nice, friendly smile with white teeth, neat nails; wearing denim jacket, dental assistant vibe; scene: city rooftop. Fun off centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can13.jpg,Noah,Male,"Photorealistic portrait, Male-presenting Black African 19-year-old young adult; hair: neat locs; grooming: casual beard, air-dry curls; wearing relaxed button-up, physician assistant vibe; scene: studio backdrop. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can14.jpg,Owen,Male,"Photorealistic portrait, Male-presenting Black American 19-year-old young adult; hair: short 2c hair; grooming: slightly messy hair, mild acne; wearing relaxed button-up, off-duty, into reply-all accidents vibe; scene: museum hall. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can15.jpg,Darius,Male,"Photorealistic portrait, Male-presenting Black African 19-year-old young adult; hair: short two-strand twists; grooming: manicure, locs freshly retwisted; wearing simple tee & chinos, teacher (stem) vibe; scene: old fort courtyard. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can16.jpg,Isaiah,Male,"Photorealistic portrait, Male-presenting Black Caribbean 19-year-old young adult; hair: 360waves ; grooming: polished brows, healthy curls; wearing relaxed button-up, local history archiving vibe; scene: museum hall. Off-Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can17.jpg,Luca,Male,"Photorealistic portrait, Male-presenting Afro-Latinx 19-year-old young adult; hair: short 4C coils; grooming: light makeup, mild acne; wearing smart joggers, off-duty, into calendar invites without details vibe; scene: soft gradient background. Selfie composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can18.jpg,Jamal,Male,"Photorealistic portrait, Male-presenting Mixed (non-Black)19-year-old young adult; hair: unshaped short afro ; grooming: slightly messy nails, mild acne; wearing polo & jeans, off-duty, into soft-launching multiple relationships vibe; scene: old fort courtyard. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can19.jpg,Tyrese,Male,"Photorealistic portrait, Male-presenting Black African 19-year-old young adult; hair: waves (360); grooming: uneven shave, mild acne; wearing cardigan & tee, off-duty, into alarm snoozing vibe; scene: museum hall. Off-centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
Can20.jpg,Devin,Male,"Photorealistic portrait, Male-presenting Black Caribbean 19-year-old young adult; hair: 4A curls; grooming: mild acne, untrimmed beard; wearing relaxed button-up, off-duty, into ghosting after plans made vibe; scene: university quad. Centered composition, 4:5 aspect ratio, soft natural light, shallow depth of field, friendly natural expression. High-quality, realistic skin tone and texture; no text, no watermark, no logos. Avoid text, watermarks, or logos in the image."
